,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
6545,10/07/2022,FL,"7,130,870",,,"1,620",480,"81,944",,,22,3,10/07/2022 12:00:00 AM,Not agree,Not agree
6569,03/21/2022,FL,"5,836,709",,,863,289,"73,547",,,25,2,03/21/2022 12:00:00 AM,Not agree,Not agree
6612,12/11/2021,FL,"3,742,472",,,"2,528",369,"62,574",,,29,4,12/11/2021 12:00:00 AM,Not agree,Not agree
6635,09/04/2020,FL,"630,170",,,"3,571",321,"14,468",,,106,3,09/04/2020 12:00:00 AM,Not agree,Not agree
6716,06/26/2021,FL,"2,331,063",,,"1,789",348,"37,945",,,24,1,06/26/2021 12:00:00 AM,Not agree,Not agree
6746,04/29/2022,FL,"5,930,907",,,"4,775","1,138","74,268",,,20,1,04/29/2022 12:00:00 AM,Not agree,Not agree
6747,11/14/2021,FL,"3,694,027",,,"1,094",223,"61,908",,,31,1,11/14/2021 12:00:00 AM,Not agree,Not agree
6783,05/31/2020,FL,"55,198",,,702,0,"2,644",,,37,0,05/31/2020 12:00:00 AM,Not agree,Not agree
6791,04/25/2022,FL,"5,912,224",,,"3,688",992,"74,194",,,11,2,04/25/2022 12:00:00 AM,Not agree,Not agree
6793,08/17/2020,FL,"567,995",,,"3,759",139,"12,152",,,159,3,08/17/2020 12:00:00 AM,Not agree,Not agree
6794,01/02/2022,FL,"4,334,695",,,"39,468","5,036","63,302",,,54,7,01/02/2022 12:00:00 AM,Not agree,Not agree
6806,06/30/2020,FL,"156,503",,,"6,541",56,"3,778",,,54,0,06/30/2020 12:00:00 AM,Not agree,Not agree
6818,12/20/2021,FL,"3,818,013",,,"14,875","2,641","62,792",,,24,0,12/20/2021 12:00:00 AM,Not agree,Not agree
6846,04/16/2022,FL,"5,883,804",,,"2,221",337,"74,063",,,7,1,04/16/2022 12:00:00 AM,Not agree,Not agree
6907,08/23/2022,FL,"6,984,424",,,"6,624","2,465","80,015",,,56,8,08/23/2022 12:00:00 AM,Not agree,Not agree
6969,09/21/2022,FL,"7,103,938",,,"2,744",930,"81,447",,,28,2,09/21/2022 12:00:00 AM,Not agree,Not agree
6971,11/22/2020,FL,"926,211",,,"6,134","1,356","19,146",,,68,7,11/22/2020 12:00:00 AM,Not agree,Not agree
6978,06/24/2021,FL,"2,327,115",,,"1,929",462,"37,893",,,27,3,06/24/2021 12:00:00 AM,Not agree,Not agree
6979,02/28/2021,FL,"1,873,800",,,"1,836",304,"32,178",,,82,9,02/28/2021 12:00:00 AM,Not agree,Not agree
7006,07/30/2022,FL,"6,808,152",,,"7,992","1,538","78,371",,,78,12,07/30/2022 12:00:00 AM,Not agree,Not agree
7014,09/06/2021,FL,"3,379,627",,,"10,249","1,969","52,691",,,379,34,09/06/2021 12:00:00 AM,Not agree,Not agree
7029,02/08/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
7046,09/12/2022,FL,"7,078,944",,,"3,628","1,308","81,090",,,37,4,09/12/2022 12:00:00 AM,Not agree,Not agree
7091,04/07/2022,FL,"5,863,220",,,"2,123",477,"73,926",,,20,1,04/07/2022 12:00:00 AM,Not agree,Not agree
7093,05/21/2022,FL,"6,074,939",,,"6,958","1,503","74,688",,,33,2,05/21/2022 12:00:00 AM,Not agree,Not agree
7108,09/07/2021,FL,"3,393,666",,,"14,039","5,091","53,005",,,314,33,09/07/2021 12:00:00 AM,Not agree,Not agree
7112,04/18/2022,FL,"5,888,671",,,"3,053",769,"74,104",,,17,0,04/18/2022 12:00:00 AM,Not agree,Not agree
7125,08/22/2021,FL,"3,094,825",,,"14,796","3,440","46,757",,,351,29,08/22/2021 12:00:00 AM,Not agree,Not agree
7173,02/07/2022,FL,"5,699,851",,,"19,233","7,105","69,909",,,166,19,02/07/2022 12:00:00 AM,Not agree,Not agree
7176,07/04/2022,FL,"6,526,232",,,"7,328","2,078","76,672",,,68,10,07/04/2022 12:00:00 AM,Not agree,Not agree
7222,10/16/2020,FL,"737,137",,,"4,007",437,"17,137",,,53,4,10/16/2020 12:00:00 AM,Not agree,Not agree
7430,11/15/2020,FL,"872,273",,,"4,522",700,"18,688",,,59,4,11/15/2020 12:00:00 AM,Not agree,Not agree
7456,07/15/2021,FL,"2,412,414",,,"8,642","2,054","38,611",,,58,6,07/15/2021 12:00:00 AM,Not agree,Not agree
7528,04/07/2021,FL,"2,065,776",,,"7,806","2,151","34,472",,,51,3,04/07/2021 12:00:00 AM,Not agree,Not agree
7578,02/07/2021,FL,"1,747,416",,,"5,480","1,503","29,867",,,150,13,02/07/2021 12:00:00 AM,Not agree,Not agree
7581,05/12/2022,FL,"5,998,491",,,"3,644",590,"74,497",,,11,0,05/12/2022 12:00:00 AM,Not agree,Not agree
7658,12/22/2020,FL,"1,210,212",,,"11,231","3,569","22,069",,,124,9,12/22/2020 12:00:00 AM,Not agree,Not agree
7670,08/28/2022,FL,"7,012,852",,,"3,878",883,"80,333",,,65,6,08/28/2022 12:00:00 AM,Not agree,Not agree
7674,06/21/2020,FL,"97,638",,,"2,761",1,"3,329",,,40,0,06/21/2020 12:00:00 AM,Not agree,Not agree
7677,05/02/2020,FL,"34,860",,,634,0,"1,540",,,32,0,05/02/2020 12:00:00 AM,Not agree,Not agree
7717,02/14/2022,FL,"5,756,883",,,"5,976","1,712","71,056",,,136,7,02/14/2022 12:00:00 AM,Not agree,Not agree
7789,03/07/2022,FL,"5,820,394",,,"1,599",469,"73,004",,,61,3,03/07/2022 12:00:00 AM,Not agree,Not agree
7791,04/18/2021,FL,"2,133,274",,,"4,322","1,034","35,044",,,50,4,04/18/2021 12:00:00 AM,Not agree,Not agree
7832,02/20/2022,FL,"5,786,562",,,"3,150","1,209","71,800",,,91,9,02/20/2022 12:00:00 AM,Not agree,Not agree
7849,06/29/2022,FL,"6,482,361",,,"12,755","3,703","76,369",,,46,9,06/29/2022 12:00:00 AM,Not agree,Not agree
7865,04/27/2022,FL,"5,921,462",,,"4,659","1,064","74,233",,,22,2,04/27/2022 12:00:00 AM,Not agree,Not agree
7898,01/24/2022,FL,"5,403,481",,,"34,937","10,435","66,963",,,222,27,01/24/2022 12:00:00 AM,Not agree,Not agree
7984,05/27/2021,FL,"2,281,033",,,"2,330",629,"36,998",,,40,1,05/27/2021 12:00:00 AM,Not agree,Not agree
7989,07/08/2020,FL,"228,806",,,"8,433",93,"4,513",,,136,0,07/08/2020 12:00:00 AM,Not agree,Not agree
7993,01/21/2021,FL,"1,595,358",,,"13,472","3,707","27,056",,,185,18,01/21/2021 12:00:00 AM,Not agree,Not agree
8005,06/09/2020,FL,"65,369",,,"1,241",5,"2,930",,,34,0,06/09/2020 12:00:00 AM,Not agree,Not agree
8031,08/21/2021,FL,"3,080,029",,,"18,163","3,261","46,406",,,388,29,08/21/2021 12:00:00 AM,Not agree,Not agree
8059,08/19/2021,FL,"3,039,393",,,"24,405","5,842","45,595",,,386,42,08/19/2021 12:00:00 AM,Not agree,Not agree
8090,10/13/2020,FL,"726,455",,,"2,841",498,"16,984",,,41,2,10/13/2020 12:00:00 AM,Not agree,Not agree
8114,02/02/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
8148,10/02/2021,FL,"3,601,007",,,"3,113",612,"58,995",,,136,9,10/02/2021 12:00:00 AM,Not agree,Not agree
8154,04/21/2022,FL,"5,899,615",,,"3,605",783,"74,142",,,12,3,04/21/2022 12:00:00 AM,Not agree,Not agree
8259,09/07/2022,FL,"7,061,292",,,"5,435","2,100","80,866",,,43,4,09/07/2022 12:00:00 AM,Not agree,Not agree
8317,09/30/2022,FL,"7,119,964",,,"1,518",463,"81,756",,,31,6,09/30/2022 12:00:00 AM,Not agree,Not agree
8392,05/29/2021,FL,"2,284,465",,,"1,445",279,"37,083",,,42,6,05/29/2021 12:00:00 AM,Not agree,Not agree
8394,06/04/2022,FL,"6,215,829",,,"7,517","1,431","75,128",,,37,4,06/04/2022 12:00:00 AM,Not agree,Not agree
8452,01/10/2022,FL,"4,830,172",,,"47,310","10,753","64,144",,,133,10,01/10/2022 12:00:00 AM,Not agree,Not agree
8468,07/10/2020,FL,"250,362",,,"10,318",44,"4,760",,,116,0,07/10/2020 12:00:00 AM,Not agree,Not agree
8520,06/11/2021,FL,"2,306,025",,,"1,555",373,"37,550",,,21,1,06/11/2021 12:00:00 AM,Not agree,Not agree
8564,12/07/2021,FL,"3,731,656",,,"1,969",488,"62,485",,,30,1,12/07/2021 12:00:00 AM,Not agree,Not agree
8599,03/06/2020,FL,8,,,0,0,2,,,1,0,03/06/2020 12:00:00 AM,Not agree,Not agree
8627,10/22/2020,FL,"756,297",,,"3,727",708,"17,441",,,45,2,10/22/2020 12:00:00 AM,Not agree,Not agree
8655,05/22/2021,FL,"2,270,485",,,"2,008",461,"36,810",,,33,1,05/22/2021 12:00:00 AM,Not agree,Not agree
8683,06/06/2020,FL,"61,938",,,"1,395",1,"2,843",,,32,0,06/06/2020 12:00:00 AM,Not agree,Not agree
8762,04/29/2021,FL,"2,193,153",,,"5,306","1,398","35,655",,,60,6,04/29/2021 12:00:00 AM,Not agree,Not agree
8776,09/12/2020,FL,"650,021",,,"2,275",80,"15,147",,,53,1,09/12/2020 12:00:00 AM,Not agree,Not agree
8780,04/28/2021,FL,"2,187,847",,,"5,685","1,593","35,595",,,60,4,04/28/2021 12:00:00 AM,Not agree,Not agree
8880,02/25/2021,FL,"1,861,128",,,"5,907","1,517","31,935",,,85,5,02/25/2021 12:00:00 AM,Not agree,Not agree
8892,12/22/2021,FL,"3,867,066",,,"28,068","4,769","62,833",,,21,2,12/22/2021 12:00:00 AM,Not agree,Not agree
8915,01/05/2021,FL,"1,381,738",,,"17,515","5,676","24,083",,,166,15,01/05/2021 12:00:00 AM,Not agree,Not agree
8971,08/25/2020,FL,"596,219",,,"3,278",251,"13,325",,,129,5,08/25/2020 12:00:00 AM,Not agree,Not agree
9013,07/02/2022,FL,"6,512,191",,,"7,789","1,427","76,556",,,68,7,07/02/2022 12:00:00 AM,Not agree,Not agree
9025,02/25/2022,FL,"5,803,292",,,"2,712",638,"72,317",,,100,7,02/25/2022 12:00:00 AM,Not agree,Not agree
9030,07/25/2022,FL,"6,754,565",,,"11,479","3,704","78,011",,,54,6,07/25/2022 12:00:00 AM,Not agree,Not agree
9044,06/02/2020,FL,"57,022",,,"1,215",0,"2,718",,,40,0,06/02/2020 12:00:00 AM,Not agree,Not agree
9076,08/24/2021,FL,"3,143,153",,,"26,675","8,033","47,562",,,403,37,08/24/2021 12:00:00 AM,Not agree,Not agree
9171,04/28/2022,FL,"5,926,132",,,"4,670","1,019","74,248",,,15,4,04/28/2022 12:00:00 AM,Not agree,Not agree
9187,03/11/2020,FL,26,,,6,0,3,,,0,0,03/11/2020 12:00:00 AM,Not agree,Not agree
9252,08/18/2022,FL,"6,954,771",,,"9,367","2,796","79,704",,,78,16,08/18/2022 12:00:00 AM,Not agree,Not agree
9335,05/23/2020,FL,"49,092",,,551,0,"2,370",,,38,0,05/23/2020 12:00:00 AM,Not agree,Not agree
9359,02/19/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
9362,10/24/2021,FL,"3,659,355",,,988,161,"61,057",,,62,6,10/24/2021 12:00:00 AM,Not agree,Not agree
9387,09/18/2021,FL,"3,518,913",,,"8,593","2,188","56,274",,,254,29,09/18/2021 12:00:00 AM,Not agree,Not agree
9415,09/01/2020,FL,"619,900",,,"2,494",299,"14,162",,,100,4,09/01/2020 12:00:00 AM,Not agree,Not agree
9458,11/24/2020,FL,"942,414",,,"8,124","2,116","19,299",,,74,6,11/24/2020 12:00:00 AM,Not agree,Not agree
9464,05/04/2020,FL,"36,193",,,566,0,"1,642",,,57,0,05/04/2020 12:00:00 AM,Not agree,Not agree
9485,03/29/2022,FL,"5,847,995",,,"1,354",360,"73,755",,,35,3,03/29/2022 12:00:00 AM,Not agree,Not agree
9489,08/07/2020,FL,"515,989",,,"8,174",154,"10,456",,,210,4,08/07/2020 12:00:00 AM,Not agree,Not agree
9565,06/27/2021,FL,"2,332,602",,,"1,539",281,"37,967",,,22,1,06/27/2021 12:00:00 AM,Not agree,Not agree
9598,07/05/2022,FL,"6,534,324",,,"8,092","3,785","76,744",,,72,9,07/05/2022 12:00:00 AM,Not agree,Not agree
9601,10/28/2020,FL,"778,878",,,"4,245",959,"17,701",,,37,1,10/28/2020 12:00:00 AM,Not agree,Not agree
9622,08/20/2020,FL,"581,182",,,"4,550",281,"12,648",,,163,1,08/20/2020 12:00:00 AM,Not agree,Not agree
9634,11/20/2021,FL,"3,704,373",,,"1,199",237,"62,071",,,22,3,11/20/2021 12:00:00 AM,Not agree,Not agree
9657,05/18/2022,FL,"6,050,232",,,"10,256","2,500","74,617",,,20,3,05/18/2022 12:00:00 AM,Not agree,Not agree
9671,07/17/2022,FL,"6,667,443",,,"7,615","1,597","77,461",,,68,10,07/17/2022 12:00:00 AM,Not agree,Not agree
9715,05/06/2021,FL,"2,222,879",,,"4,368","1,081","36,029",,,55,2,05/06/2021 12:00:00 AM,Not agree,Not agree
9750,07/20/2021,FL,"2,458,244",,,"11,849","2,907","38,913",,,80,7,07/20/2021 12:00:00 AM,Not agree,Not agree
9751,08/07/2022,FL,"6,875,643",,,"5,462","1,092","78,918",,,69,10,08/07/2022 12:00:00 AM,Not agree,Not agree
9805,04/17/2021,FL,"2,128,952",,,"5,683","1,613","34,994",,,43,4,04/17/2021 12:00:00 AM,Not agree,Not agree
9864,04/19/2021,FL,"2,139,028",,,"5,754","1,662","35,094",,,50,5,04/19/2021 12:00:00 AM,Not agree,Not agree
9867,07/17/2021,FL,"2,429,710",,,"8,001","1,546","38,715",,,47,1,07/17/2021 12:00:00 AM,Not agree,Not agree
9899,10/09/2022,FL,"7,132,616",,,827,185,"81,994",,,27,1,10/09/2022 12:00:00 AM,Not agree,Not agree
9903,04/14/2020,FL,"20,789",,,596,0,728,,,48,0,04/14/2020 12:00:00 AM,Not agree,Not agree
9912,04/28/2020,FL,"32,040",,,336,0,"1,362",,,50,0,04/28/2020 12:00:00 AM,Not agree,Not agree
9942,03/26/2020,FL,"2,546",,,549,0,77,,,14,0,03/26/2020 12:00:00 AM,Not agree,Not agree
10161,06/16/2021,FL,"2,313,201",,,"1,585",358,"37,684",,,28,1,06/16/2021 12:00:00 AM,Not agree,Not agree
10199,04/26/2020,FL,"30,962",,,508,0,"1,267",,,46,0,10/19/2022 12:33:33 PM,Not agree,Not agree
10253,03/28/2021,FL,"2,008,796",,,"3,609",802,"33,961",,,47,5,03/28/2021 12:00:00 AM,Not agree,Not agree
10269,01/06/2022,FL,"4,587,473",,,"76,523","17,736","63,658",,,113,15,01/06/2022 12:00:00 AM,Not agree,Not agree
10281,05/24/2021,FL,"2,274,016",,,"1,927",615,"36,882",,,36,3,05/24/2021 12:00:00 AM,Not agree,Not agree
10332,09/25/2022,FL,"7,111,459",,,897,190,"81,602",,,41,5,09/25/2022 12:00:00 AM,Not agree,Not agree
10374,01/02/2021,FL,"1,337,723",,,"10,427","3,224","23,588",,,144,13,01/02/2021 12:00:00 AM,Not agree,Not agree
10410,05/03/2020,FL,"35,627",,,767,0,"1,585",,,45,0,05/03/2020 12:00:00 AM,Not agree,Not agree
10444,02/21/2022,FL,"5,790,276",,,"3,714","1,276","71,915",,,115,11,02/21/2022 12:00:00 AM,Not agree,Not agree
10491,01/25/2022,FL,"5,440,709",,,"37,228","10,183","67,193",,,230,21,01/25/2022 12:00:00 AM,Not agree,Not agree
10597,11/12/2020,FL,"853,427",,,"6,799","1,423","18,480",,,57,6,11/12/2020 12:00:00 AM,Not agree,Not agree
10668,07/26/2021,FL,"2,541,177",,,"16,374","3,700","39,443",,,111,4,07/26/2021 12:00:00 AM,Not agree,Not agree
10678,10/31/2020,FL,"793,315",,,"6,457","1,165","17,856",,,53,4,10/31/2020 12:00:00 AM,Not agree,Not agree
10724,07/16/2022,FL,"6,659,828",,,"8,623","1,933","77,393",,,67,11,07/16/2022 12:00:00 AM,Not agree,Not agree
10747,04/11/2022,FL,"5,870,473",,,"2,153",532,"73,992",,,20,3,04/11/2022 12:00:00 AM,Not agree,Not agree
10823,01/16/2022,FL,"5,142,646",,,"31,618","6,674","65,205",,,196,20,01/16/2022 12:00:00 AM,Not agree,Not agree
10839,07/04/2020,FL,"196,376",,,"9,858",12,"4,089",,,90,1,07/04/2020 12:00:00 AM,Not agree,Not agree
10888,04/27/2021,FL,"2,182,162",,,"5,277","1,501","35,535",,,43,5,04/27/2021 12:00:00 AM,Not agree,Not agree
10895,08/12/2021,FL,"2,888,181",,,"26,045","5,919","43,161",,,324,25,08/12/2021 12:00:00 AM,Not agree,Not agree
10898,08/15/2022,FL,"6,932,906",,,"6,964","2,716","79,485",,,65,7,08/15/2022 12:00:00 AM,Not agree,Not agree
10937,07/12/2020,FL,"277,551",,,"11,210",41,"5,062",,,153,0,07/12/2020 12:00:00 AM,Not agree,Not agree
10995,08/17/2022,FL,"6,945,404",,,"6,201","1,782","79,626",,,49,6,08/17/2022 12:00:00 AM,Not agree,Not agree
11085,11/01/2021,FL,"3,673,826",,,"2,146",625,"61,435",,,50,0,11/01/2021 12:00:00 AM,Not agree,Not agree
11094,10/12/2020,FL,"723,614",,,"2,679",381,"16,943",,,48,1,10/12/2020 12:00:00 AM,Not agree,Not agree
11183,06/22/2021,FL,"2,323,234",,,"2,037",530,"37,841",,,24,2,06/22/2021 12:00:00 AM,Not agree,Not agree
11217,11/17/2020,FL,"887,510",,,"7,798","1,814","18,813",,,63,2,11/17/2020 12:00:00 AM,Not agree,Not agree
11252,10/01/2022,FL,"7,120,862",,,898,240,"81,788",,,32,5,10/01/2022 12:00:00 AM,Not agree,Not agree
11304,04/05/2020,FL,"12,048",,,759,0,352,,,44,0,04/05/2020 12:00:00 AM,Not agree,Not agree
11332,04/11/2020,FL,"18,454",,,"1,073",0,603,,,40,0,04/11/2020 12:00:00 AM,Not agree,Not agree
11338,07/22/2022,FL,"6,727,217",,,"11,189","3,097","77,836",,,84,15,07/22/2022 12:00:00 AM,Not agree,Not agree
11343,04/22/2022,FL,"5,903,150",,,"3,535",805,"74,161",,,19,0,04/22/2022 12:00:00 AM,Not agree,Not agree
11371,09/27/2020,FL,"686,435",,,806,65,"16,168",,,55,0,09/27/2020 12:00:00 AM,Not agree,Not agree
11383,11/03/2020,FL,"804,914",,,"4,376",860,"17,984",,,41,2,11/03/2020 12:00:00 AM,Not agree,Not agree
11393,08/14/2020,FL,"557,961",,,"6,200",106,"11,670",,,163,4,08/14/2020 12:00:00 AM,Not agree,Not agree
11411,04/27/2020,FL,"31,704",,,742,0,"1,312",,,45,0,10/19/2022 12:33:33 PM,Not agree,Not agree
11451,07/23/2020,FL,"394,847",,,"12,113",107,"7,175",,,223,4,07/23/2020 12:00:00 AM,Not agree,Not agree
11563,03/05/2022,FL,"5,817,966",,,"1,531",159,"72,885",,,49,4,03/05/2022 12:00:00 AM,Not agree,Not agree
11579,08/13/2020,FL,"551,761",,,"5,963",142,"11,507",,,168,3,08/13/2020 12:00:00 AM,Not agree,Not agree
11641,06/19/2021,FL,"2,318,277",,,"1,705",284,"37,771",,,34,3,06/19/2021 12:00:00 AM,Not agree,Not agree
11722,12/04/2021,FL,"3,726,579",,,"1,601",282,"62,401",,,19,4,12/04/2021 12:00:00 AM,Not agree,Not agree
11729,04/08/2021,FL,"2,072,877",,,"7,101","1,848","34,530",,,58,5,04/08/2021 12:00:00 AM,Not agree,Not agree
11730,10/07/2020,FL,"711,162",,,"3,234",366,"16,697",,,75,2,10/07/2020 12:00:00 AM,Not agree,Not agree
11736,07/13/2022,FL,"6,628,322",,,"13,454","3,871","77,207",,,60,8,07/13/2022 12:00:00 AM,Not agree,Not agree
11744,08/04/2021,FL,"2,710,614",,,"23,117","5,098","40,945",,,226,25,08/04/2021 12:00:00 AM,Not agree,Not agree
11764,07/28/2021,FL,"2,576,177",,,"17,249","3,733","39,712",,,128,11,07/28/2021 12:00:00 AM,Not agree,Not agree
11780,01/30/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
11784,01/17/2021,FL,"1,547,977",,,"7,856","1,216","26,298",,,183,14,01/17/2021 12:00:00 AM,Not agree,Not agree
11790,04/24/2020,FL,"29,656",,,735,0,"1,182",,,38,0,10/19/2022 12:33:33 PM,Not agree,Not agree
11842,02/13/2021,FL,"1,790,443",,,"5,642","1,288","30,678",,,127,10,02/13/2021 12:00:00 AM,Not agree,Not agree
11871,01/29/2022,FL,"5,541,196",,,"19,631","4,522","68,110",,,244,44,01/29/2022 12:00:00 AM,Not agree,Not agree
11872,12/27/2021,FL,"4,010,306",,,"33,394","8,662","62,997",,,28,2,12/27/2021 12:00:00 AM,Not agree,Not agree
11902,02/03/2021,FL,"1,717,889",,,"7,511","2,026","29,220",,,182,15,02/03/2021 12:00:00 AM,Not agree,Not agree
11935,04/01/2021,FL,"2,032,292",,,"6,332","1,587","34,183",,,65,4,04/01/2021 12:00:00 AM,Not agree,Not agree
11941,05/08/2020,FL,"38,508",,,764,0,"1,808",,,35,1,05/08/2020 12:00:00 AM,Not agree,Not agree
11984,06/01/2020,FL,"55,807",,,609,0,"2,678",,,34,0,06/01/2020 12:00:00 AM,Not agree,Not agree
12071,12/28/2021,FL,"4,062,986",,,"52,680","13,245","63,050",,,53,2,12/28/2021 12:00:00 AM,Not agree,Not agree
12074,07/24/2021,FL,"2,514,382",,,"13,181","2,294","39,223",,,85,7,07/24/2021 12:00:00 AM,Not agree,Not agree
12098,04/02/2021,FL,"2,038,167",,,"5,875","1,566","34,248",,,65,3,04/02/2021 12:00:00 AM,Not agree,Not agree
12131,06/17/2020,FL,"82,944",,,"2,704",2,"3,195",,,34,0,06/17/2020 12:00:00 AM,Not agree,Not agree
12163,01/29/2021,FL,"1,679,986",,,"14,686","4,059","28,433",,,145,13,01/29/2021 12:00:00 AM,Not agree,Not agree
12193,12/08/2020,FL,"1,061,773",,,"9,409","2,610","20,571",,,98,5,12/08/2020 12:00:00 AM,Not agree,Not agree
12215,02/26/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
12227,11/23/2020,FL,"934,290",,,"8,079","2,314","19,225",,,79,5,11/23/2020 12:00:00 AM,Not agree,Not agree
12233,02/05/2021,FL,"1,735,334",,,"7,327","1,938","29,558",,,158,7,02/05/2021 12:00:00 AM,Not agree,Not agree
12240,12/25/2021,FL,"3,947,911",,,"20,959","2,472","62,930",,,35,1,12/25/2021 12:00:00 AM,Not agree,Not agree
12265,09/19/2020,FL,"669,070",,,"2,445",155,"15,640",,,72,2,09/19/2020 12:00:00 AM,Not agree,Not agree
12272,05/26/2020,FL,"51,045",,,477,0,"2,468",,,27,0,05/26/2020 12:00:00 AM,Not agree,Not agree
12294,10/21/2021,FL,"3,654,806",,,"2,138",557,"60,857",,,69,1,10/21/2021 12:00:00 AM,Not agree,Not agree
12330,01/19/2022,FL,"5,263,733",,,"45,671","12,993","65,824",,,197,17,01/19/2022 12:00:00 AM,Not agree,Not agree
12367,01/09/2022,FL,"4,782,862",,,"49,230","9,384","64,011",,,131,15,01/09/2022 12:00:00 AM,Not agree,Not agree
12382,07/15/2022,FL,"6,651,205",,,"11,190","2,861","77,326",,,50,6,07/15/2022 12:00:00 AM,Not agree,Not agree
12389,02/06/2021,FL,"1,741,936",,,"6,602","1,822","29,717",,,159,13,02/06/2021 12:00:00 AM,Not agree,Not agree
12424,02/14/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
12431,02/19/2021,FL,"1,826,979",,,"7,092","2,007","31,362",,,113,8,02/19/2021 12:00:00 AM,Not agree,Not agree
12446,08/28/2020,FL,"606,001",,,"3,043",216,"13,723",,,139,8,08/28/2020 12:00:00 AM,Not agree,Not agree
12459,07/02/2020,FL,"175,234",,,"9,303",74,"3,926",,,77,1,07/02/2020 12:00:00 AM,Not agree,Not agree
12532,10/04/2020,FL,"703,094",,,"1,376",76,"16,520",,,55,3,10/04/2020 12:00:00 AM,Not agree,Not agree
12579,03/02/2020,FL,2,,,2,0,0,,,0,0,03/02/2020 12:00:00 AM,Not agree,Not agree
12584,10/07/2021,FL,"3,619,307",,,"3,908",863,"59,616",,,122,7,10/07/2021 12:00:00 AM,Not agree,Not agree
12610,06/01/2021,FL,"2,288,328",,,"1,307",337,"37,203",,,45,1,06/01/2021 12:00:00 AM,Not agree,Not agree
12664,07/23/2021,FL,"2,501,201",,,"14,924","3,291","39,138",,,91,10,07/23/2021 12:00:00 AM,Not agree,Not agree
12748,05/17/2021,FL,"2,257,009",,,"2,833",917,"36,580",,,52,4,05/17/2021 12:00:00 AM,Not agree,Not agree
12774,01/01/2021,FL,"1,327,296",,,"9,697","1,580","23,444",,,155,12,01/01/2021 12:00:00 AM,Not agree,Not agree
12781,03/27/2021,FL,"2,005,187",,,"4,741","1,151","33,914",,,46,4,03/27/2021 12:00:00 AM,Not agree,Not agree
12811,02/12/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
12934,10/16/2021,FL,"3,643,377",,,"1,476",319,"60,489",,,80,10,10/16/2021 12:00:00 AM,Not agree,Not agree
12936,12/30/2020,FL,"1,296,587",,,"16,529","4,975","23,129",,,165,12,12/30/2020 12:00:00 AM,Not agree,Not agree
12950,06/02/2022,FL,"6,197,163",,,"14,014","3,231","75,055",,,39,8,06/02/2022 12:00:00 AM,Not agree,Not agree
12990,11/08/2020,FL,"831,065",,,"3,821",537,"18,245",,,48,4,11/08/2020 12:00:00 AM,Not agree,Not agree
13048,08/09/2020,FL,"526,145",,,"4,106",62,"10,791",,,173,2,08/09/2020 12:00:00 AM,Not agree,Not agree
13068,09/22/2020,FL,"675,663",,,"2,589",393,"15,852",,,77,3,09/22/2020 12:00:00 AM,Not agree,Not agree
13116,03/07/2021,FL,"1,909,538",,,"3,489",787,"32,729",,,58,7,03/07/2021 12:00:00 AM,Not agree,Not agree
13131,02/12/2021,FL,"1,784,801",,,"7,048","1,922","30,551",,,133,13,02/12/2021 12:00:00 AM,Not agree,Not agree
13144,06/20/2022,FL,"6,383,092",,,"10,942","3,526","75,874",,,56,9,06/20/2022 12:00:00 AM,Not agree,Not agree
13181,08/02/2020,FL,"482,302",,,"4,796",38,"9,347",,,200,7,08/02/2020 12:00:00 AM,Not agree,Not agree
13194,09/22/2021,FL,"3,547,145",,,"6,471","1,883","57,205",,,235,25,09/22/2021 12:00:00 AM,Not agree,Not agree
13247,02/09/2021,FL,"1,761,917",,,"7,395","2,644","30,141",,,162,8,02/09/2021 12:00:00 AM,Not agree,Not agree
13251,05/02/2022,FL,"5,942,192",,,"5,044","1,268","74,310",,,11,1,05/02/2022 12:00:00 AM,Not agree,Not agree
13277,11/09/2020,FL,"835,370",,,"4,305",938,"18,290",,,45,5,11/09/2020 12:00:00 AM,Not agree,Not agree
13381,12/08/2021,FL,"3,734,471",,,"2,815",728,"62,498",,,13,1,12/08/2021 12:00:00 AM,Not agree,Not agree
13444,02/16/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
13474,07/06/2022,FL,"6,547,610",,,"13,286","3,704","76,803",,,59,6,07/06/2022 12:00:00 AM,Not agree,Not agree
13519,07/15/2020,FL,"310,362",,,"13,810",110,"5,563",,,171,5,07/15/2020 12:00:00 AM,Not agree,Not agree
13542,09/15/2020,FL,"656,717",,,"2,273",316,"15,369",,,75,2,09/15/2020 12:00:00 AM,Not agree,Not agree
