,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
1431,09/09/2021,FL,"3,424,320",,,"18,026","5,652","53,694",,,332,26,09/09/2021 12:00:00 AM,Not agree,Not agree
1434,10/03/2020,FL,"701,718",,,"1,855",203,"16,465",,,41,1,10/03/2020 12:00:00 AM,Not agree,Not agree
1510,07/04/2021,FL,"2,350,708",,,"1,798",374,"38,186",,,34,2,07/04/2021 12:00:00 AM,Not agree,Not agree
1524,07/01/2022,FL,"6,504,402",,,"10,366","2,682","76,488",,,59,4,07/01/2022 12:00:00 AM,Not agree,Not agree
1552,07/16/2020,FL,"321,192",,,"10,830",97,"5,763",,,200,1,07/16/2020 12:00:00 AM,Not agree,Not agree
1629,06/25/2022,FL,"6,439,430",,,"8,786","1,778","76,158",,,44,3,06/25/2022 12:00:00 AM,Not agree,Not agree
1640,10/04/2021,FL,"3,607,580",,,"3,799","1,271","59,238",,,102,11,10/04/2021 12:00:00 AM,Not agree,Not agree
1651,03/29/2021,FL,"2,014,006",,,"5,210","1,342","34,009",,,48,8,03/29/2021 12:00:00 AM,Not agree,Not agree
1656,11/25/2020,FL,"952,647",,,"10,233","2,791","19,377",,,78,6,11/25/2020 12:00:00 AM,Not agree,Not agree
1694,04/04/2022,FL,"5,857,172",,,"1,472",467,"73,876",,,15,0,04/04/2022 12:00:00 AM,Not agree,Not agree
1701,02/11/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
1720,08/15/2020,FL,"561,601",,,"3,640",29,"11,853",,,183,2,08/15/2020 12:00:00 AM,Not agree,Not agree
1723,03/01/2020,FL,0,,,0,0,0,,,0,0,03/01/2020 12:00:00 AM,Not agree,Not agree
1736,09/30/2021,FL,"3,593,285",,,"5,931","1,708","58,710",,,146,12,09/30/2021 12:00:00 AM,Not agree,Not agree
1787,06/05/2022,FL,"6,223,785",,,"7,956","1,391","75,164",,,36,5,06/05/2022 12:00:00 AM,Not agree,Not agree
1820,05/20/2021,FL,"2,265,149",,,"2,338",739,"36,720",,,41,7,05/20/2021 12:00:00 AM,Not agree,Not agree
1909,09/29/2020,FL,"691,643",,,"2,033",267,"16,269",,,51,1,09/29/2020 12:00:00 AM,Not agree,Not agree
1949,03/28/2022,FL,"5,846,641",,,"1,492",449,"73,720",,,21,0,03/28/2022 12:00:00 AM,Not agree,Not agree
1967,08/17/2021,FL,"2,990,583",,,"23,856","6,848","44,840",,,364,36,08/17/2021 12:00:00 AM,Not agree,Not agree
1977,08/01/2022,FL,"6,825,234",,,"10,322","3,540","78,500",,,63,7,08/01/2022 12:00:00 AM,Not agree,Not agree
1989,02/06/2022,FL,"5,680,618",,,"20,410","4,495","69,743",,,165,15,02/06/2022 12:00:00 AM,Not agree,Not agree
2027,02/23/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
2054,09/25/2020,FL,"683,798",,,"2,757",278,"16,051",,,73,3,09/25/2020 12:00:00 AM,Not agree,Not agree
2070,09/18/2022,FL,"7,095,561",,,"2,924",581,"81,344",,,44,3,09/18/2022 12:00:00 AM,Not agree,Not agree
2108,05/01/2022,FL,"5,937,148",,,"2,922",482,"74,299",,,14,1,05/01/2022 12:00:00 AM,Not agree,Not agree
2136,03/12/2021,FL,"1,934,350",,,"5,118","1,239","33,062",,,68,2,03/12/2021 12:00:00 AM,Not agree,Not agree
2168,11/16/2020,FL,"879,712",,,"7,439","1,657","18,750",,,62,5,11/16/2020 12:00:00 AM,Not agree,Not agree
2206,06/08/2020,FL,"64,128",,,"1,151",3,"2,896",,,25,0,06/08/2020 12:00:00 AM,Not agree,Not agree
2232,01/10/2021,FL,"1,459,220",,,"11,578","2,822","24,918",,,175,15,01/10/2021 12:00:00 AM,Not agree,Not agree
2302,07/06/2020,FL,"209,876",,,"7,223",80,"4,276",,,108,2,07/06/2020 12:00:00 AM,Not agree,Not agree
2319,05/01/2021,FL,"2,202,421",,,"3,863","1,047","35,763",,,52,2,05/01/2021 12:00:00 AM,Not agree,Not agree
2380,05/26/2022,FL,"6,125,482",,,"11,107","2,513","74,818",,,26,0,05/26/2022 12:00:00 AM,Not agree,Not agree
2385,08/30/2021,FL,"3,264,078",,,"19,029","5,161","49,999",,,416,38,08/30/2021 12:00:00 AM,Not agree,Not agree
2412,04/15/2022,FL,"5,881,583",,,"2,762",579,"74,056",,,17,1,04/15/2022 12:00:00 AM,Not agree,Not agree
2459,12/03/2021,FL,"3,724,978",,,"2,132",583,"62,382",,,32,5,12/03/2021 12:00:00 AM,Not agree,Not agree
2518,10/11/2020,FL,"720,935",,,"1,545",136,"16,895",,,57,2,10/11/2020 12:00:00 AM,Not agree,Not agree
2551,10/23/2021,FL,"3,658,367",,,"1,342",255,"60,995",,,74,3,10/23/2021 12:00:00 AM,Not agree,Not agree
2569,12/17/2021,FL,"3,781,304",,,"10,145","1,488","62,710",,,26,1,12/17/2021 12:00:00 AM,Not agree,Not agree
2589,10/12/2021,FL,"3,632,825",,,"2,660",867,"60,171",,,105,9,10/12/2021 12:00:00 AM,Not agree,Not agree
2631,08/22/2020,FL,"588,245",,,"2,980",111,"12,952",,,141,4,08/22/2020 12:00:00 AM,Not agree,Not agree
2680,05/14/2021,FL,"2,249,772",,,"3,333",889,"36,437",,,54,5,05/14/2021 12:00:00 AM,Not agree,Not agree
2688,07/01/2021,FL,"2,343,245",,,"2,848",665,"38,089",,,26,3,07/01/2021 12:00:00 AM,Not agree,Not agree
2719,05/04/2021,FL,"2,213,913",,,"4,509","1,293","35,919",,,44,0,05/04/2021 12:00:00 AM,Not agree,Not agree
2753,11/05/2021,FL,"3,681,130",,,"1,720",494,"61,598",,,50,1,11/05/2021 12:00:00 AM,Not agree,Not agree
2787,06/28/2021,FL,"2,334,938",,,"2,336",536,"37,995",,,28,4,06/28/2021 12:00:00 AM,Not agree,Not agree
2808,10/11/2021,FL,"3,630,165",,,"2,754",880,"60,066",,,107,10,10/11/2021 12:00:00 AM,Not agree,Not agree
2818,10/09/2020,FL,"715,772",,,"1,739",341,"16,790",,,45,1,10/09/2020 12:00:00 AM,Not agree,Not agree
2820,12/03/2020,FL,"1,018,521",,,"10,148","2,207","20,087",,,92,7,12/03/2020 12:00:00 AM,Not agree,Not agree
2828,12/04/2020,FL,"1,028,765",,,"10,244","2,159","20,184",,,97,7,12/04/2020 12:00:00 AM,Not agree,Not agree
2875,11/26/2020,FL,"959,206",,,"6,559","1,285","19,444",,,67,2,11/26/2020 12:00:00 AM,Not agree,Not agree
2944,12/05/2021,FL,"3,727,922",,,"1,343",270,"62,428",,,27,3,12/05/2021 12:00:00 AM,Not agree,Not agree
2953,01/13/2021,FL,"1,501,039",,,"13,525","3,799","25,515",,,211,24,01/13/2021 12:00:00 AM,Not agree,Not agree
2963,04/22/2020,FL,"27,708",,,693,0,"1,095",,,45,0,04/22/2020 12:00:00 AM,Not agree,Not agree
2993,05/15/2022,FL,"6,022,120",,,"5,343","1,097","74,551",,,15,1,05/15/2022 12:00:00 AM,Not agree,Not agree
3032,07/03/2020,FL,"186,518",,,"11,284",44,"3,999",,,73,0,07/03/2020 12:00:00 AM,Not agree,Not agree
3048,03/09/2022,FL,"5,823,597",,,"1,542",443,"73,106",,,50,2,03/09/2022 12:00:00 AM,Not agree,Not agree
3087,08/08/2021,FL,"2,791,996",,,"15,432","2,633","41,928",,,238,18,08/08/2021 12:00:00 AM,Not agree,Not agree
3099,01/31/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
3111,10/18/2021,FL,"3,647,465",,,"2,201",754,"60,635",,,71,3,10/18/2021 12:00:00 AM,Not agree,Not agree
3132,12/25/2020,FL,"1,239,763",,,"5,946",505,"22,412",,,116,15,12/25/2020 12:00:00 AM,Not agree,Not agree
3227,03/04/2021,FL,"1,897,351",,,"5,942","1,530","32,494",,,65,6,03/04/2021 12:00:00 AM,Not agree,Not agree
3231,06/01/2022,FL,"6,183,149",,,"13,154","3,598","75,016",,,36,8,06/01/2022 12:00:00 AM,Not agree,Not agree
3241,08/30/2020,FL,"610,135",,,"1,618",93,"13,941",,,98,2,08/30/2020 12:00:00 AM,Not agree,Not agree
3246,04/09/2020,FL,"16,298",,,"1,032",0,522,,,40,0,04/09/2020 12:00:00 AM,Not agree,Not agree
3307,01/29/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
3346,01/27/2021,FL,"1,654,400",,,"11,306","2,959","28,130",,,177,13,01/27/2021 12:00:00 AM,Not agree,Not agree
3355,04/23/2020,FL,"28,921",,,"1,213",0,"1,144",,,49,0,10/19/2022 12:33:33 PM,Not agree,Not agree
3385,03/17/2020,FL,225,,,69,0,9,,,3,0,03/17/2020 12:00:00 AM,Not agree,Not agree
3405,05/09/2020,FL,"39,192",,,684,0,"1,838",,,30,0,05/09/2020 12:00:00 AM,Not agree,Not agree
3445,12/10/2020,FL,"1,084,366",,,"11,341","3,068","20,765",,,92,7,12/10/2020 12:00:00 AM,Not agree,Not agree
3582,12/31/2021,FL,"4,249,745",,,"55,217","10,700","63,183",,,43,2,12/31/2021 12:00:00 AM,Not agree,Not agree
3602,09/24/2022,FL,"7,110,562",,,"1,577",361,"81,561",,,34,5,09/24/2022 12:00:00 AM,Not agree,Not agree
3643,04/24/2022,FL,"5,908,536",,,"2,525",416,"74,183",,,14,3,04/24/2022 12:00:00 AM,Not agree,Not agree
3688,11/06/2021,FL,"3,682,229",,,"1,099",232,"61,627",,,29,2,11/06/2021 12:00:00 AM,Not agree,Not agree
3730,10/08/2020,FL,"714,033",,,"2,871",309,"16,745",,,48,1,10/08/2020 12:00:00 AM,Not agree,Not agree
3778,02/11/2022,FL,"5,741,535",,,"8,885","2,580","70,605",,,179,16,02/11/2022 12:00:00 AM,Not agree,Not agree
3794,12/15/2020,FL,"1,132,830",,,"11,233","3,631","21,262",,,116,17,12/15/2020 12:00:00 AM,Not agree,Not agree
3795,10/17/2021,FL,"3,645,264",,,"1,887",339,"60,564",,,75,6,10/17/2021 12:00:00 AM,Not agree,Not agree
3801,02/03/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
3818,08/11/2020,FL,"539,663",,,"7,822",159,"11,161",,,188,3,08/11/2020 12:00:00 AM,Not agree,Not agree
3868,03/02/2021,FL,"1,885,280",,,"4,394","1,281","32,337",,,73,5,03/02/2021 12:00:00 AM,Not agree,Not agree
3879,06/08/2021,FL,"2,300,589",,,"1,741",505,"37,464",,,43,1,06/08/2021 12:00:00 AM,Not agree,Not agree
3922,04/12/2020,FL,"19,264",,,810,0,638,,,35,0,04/12/2020 12:00:00 AM,Not agree,Not agree
3974,06/06/2022,FL,"6,235,531",,,"11,746","3,693","75,200",,,36,8,06/06/2022 12:00:00 AM,Not agree,Not agree
3982,12/19/2020,FL,"1,178,082",,,"8,091","2,372","21,692",,,94,7,12/19/2020 12:00:00 AM,Not agree,Not agree
3984,05/06/2020,FL,"37,404",,,631,0,"1,732",,,49,0,05/06/2020 12:00:00 AM,Not agree,Not agree
3999,11/21/2020,FL,"920,077",,,"6,516","1,243","19,078",,,64,6,11/21/2020 12:00:00 AM,Not agree,Not agree
4032,09/14/2020,FL,"654,444",,,"2,650",259,"15,294",,,74,3,09/14/2020 12:00:00 AM,Not agree,Not agree
4051,10/02/2020,FL,"699,863",,,"2,745",373,"16,424",,,63,2,10/02/2020 12:00:00 AM,Not agree,Not agree
4076,03/25/2021,FL,"1,994,690",,,"5,950","1,620","33,804",,,42,4,03/25/2021 12:00:00 AM,Not agree,Not agree
4101,01/06/2021,FL,"1,401,141",,,"19,403","5,284","24,262",,,179,17,01/06/2021 12:00:00 AM,Not agree,Not agree
4115,08/10/2020,FL,"531,841",,,"5,696",129,"10,973",,,182,2,08/10/2020 12:00:00 AM,Not agree,Not agree
4129,06/15/2022,FL,"6,333,750",,,"12,722","3,409","75,604",,,39,5,06/15/2022 12:00:00 AM,Not agree,Not agree
4179,05/27/2020,FL,"51,655",,,610,0,"2,506",,,38,0,05/27/2020 12:00:00 AM,Not agree,Not agree
4198,01/24/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
4215,06/30/2021,FL,"2,340,397",,,"2,965",704,"38,063",,,38,1,06/30/2021 12:00:00 AM,Not agree,Not agree
4234,04/14/2022,FL,"5,878,821",,,"2,891",626,"74,039",,,16,1,04/14/2022 12:00:00 AM,Not agree,Not agree
4281,12/24/2020,FL,"1,233,817",,,"10,702","2,312","22,296",,,114,13,12/24/2020 12:00:00 AM,Not agree,Not agree
4326,06/14/2020,FL,"75,110",,,"1,762",4,"3,087",,,33,0,06/14/2020 12:00:00 AM,Not agree,Not agree
4327,05/08/2022,FL,"5,965,858",,,107,9,"74,431",,,24,4,05/08/2022 12:00:00 AM,Not agree,Not agree
4344,09/13/2020,FL,"651,794",,,"1,773",56,"15,220",,,73,3,09/13/2020 12:00:00 AM,Not agree,Not agree
4345,06/12/2020,FL,"71,203",,,"2,513",4,"3,027",,,36,0,06/12/2020 12:00:00 AM,Not agree,Not agree
4377,03/22/2020,FL,"1,040",,,284,0,25,,,3,0,03/22/2020 12:00:00 AM,Not agree,Not agree
4503,02/10/2022,FL,"5,732,650",,,"9,794","2,610","70,426",,,176,22,02/10/2022 12:00:00 AM,Not agree,Not agree
4514,02/26/2021,FL,"1,866,565",,,"5,437","1,441","32,018",,,83,3,02/26/2021 12:00:00 AM,Not agree,Not agree
4541,08/24/2020,FL,"592,941",,,"2,672",206,"13,196",,,117,5,08/24/2020 12:00:00 AM,Not agree,Not agree
4638,09/04/2022,FL,"7,048,402",,,"3,665",892,"80,712",,,48,10,09/04/2022 12:00:00 AM,Not agree,Not agree
4655,02/24/2022,FL,"5,800,580",,,"2,886",674,"72,217",,,83,5,02/24/2022 12:00:00 AM,Not agree,Not agree
4682,04/21/2020,FL,"27,015",,,856,0,"1,050",,,48,1,04/21/2020 12:00:00 AM,Not agree,Not agree
4687,07/10/2021,FL,"2,377,237",,,"5,114","1,030","38,390",,,32,2,07/10/2021 12:00:00 AM,Not agree,Not agree
4729,03/22/2022,FL,"5,838,687",,,"1,978",530,"73,574",,,27,2,03/22/2022 12:00:00 AM,Not agree,Not agree
4779,09/14/2022,FL,"7,086,048",,,"3,365","1,028","81,174",,,30,2,09/14/2022 12:00:00 AM,Not agree,Not agree
4793,02/08/2021,FL,"1,754,522",,,"7,106","2,318","29,979",,,112,7,02/08/2021 12:00:00 AM,Not agree,Not agree
4813,03/29/2020,FL,"4,784",,,887,0,126,,,20,0,03/29/2020 12:00:00 AM,Not agree,Not agree
4823,09/24/2020,FL,"681,041",,,"2,741",284,"15,978",,,58,0,09/24/2020 12:00:00 AM,Not agree,Not agree
4868,09/21/2021,FL,"3,540,674",,,"8,321","2,479","56,970",,,233,22,09/21/2021 12:00:00 AM,Not agree,Not agree
4903,02/18/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
4918,05/07/2020,FL,"37,744",,,340,0,"1,773",,,41,0,05/07/2020 12:00:00 AM,Not agree,Not agree
4936,10/05/2020,FL,"705,405",,,"2,311",401,"16,561",,,41,2,10/05/2020 12:00:00 AM,Not agree,Not agree
4940,02/10/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
4959,03/15/2020,FL,110,,,15,0,6,,,1,0,03/15/2020 12:00:00 AM,Not agree,Not agree
4990,03/06/2022,FL,"5,818,795",,,829,128,"72,943",,,58,8,03/06/2022 12:00:00 AM,Not agree,Not agree
5050,05/13/2022,FL,"6,010,838",,,"12,347","3,193","74,510",,,13,3,05/13/2022 12:00:00 AM,Not agree,Not agree
5087,10/27/2021,FL,"3,665,886",,,"2,392",768,"61,204",,,51,3,10/27/2021 12:00:00 AM,Not agree,Not agree
